Unnamed: 0,Dosya Adı,Cümle Sayısı,Hece Sayısı,Cümle Başına Ortalama Kelime Sayısı,Cümle Başına Ortalama Hece Sayısı,Ateşman Okunabilirlik Puanı,Ofansif Cümle Sayısı,Ofansif Cümle Oranı,Ofansif Cümle Yüzdesi,Ofansif Kelime Sayısı,Ofansif Kelime Oranı,Kelime Sayısı,Ofansif Kelime Sayısının Ofansif Olmayan Kelime Sayısına oranı,FRES,CetinKayaUzun,Ortalama Cümle Ofansifliği,Önerilen Yaş Aralığı
74,Lev Tolstoy - Anna Karenina 1   (2005).txt,10791,222368,7.879436567509962,20.60680196460013,73.19146398912112,626,0.0580113057177277,0.061583866207575,1598,0.0187940301316052,85027,0.0191540111951479,220.9625001373557,43.20921745694984,0.0598885599579687,12-15
75,Lev Tolstoy - Anna Karenina 2  .txt,11966,242165,7.68719705833194,20.23775697810463,72.99440067530759,611,0.0510613404646498,0.0538088947600176,1723,0.018731314888297,91985,0.0190888746094702,221.304777423147,42.94386124270528,0.0548449112233145,12-15
76,Mario-Mazzanti-Sah-Mat.txt,8544,237368,10.90227059925094,27.78183520599251,67.99367248634421,278,0.0325374531835206,0.0336317444955238,2050,0.0220077510225552,93149,0.022502991251276,217.3274866814419,42.01522656676736,0.0350921077504349,15-18
77,Milliyet Çocuk Kitapları 004 - Evvel Evvel İken Deve Tellal İken... - M. Başaran_djvu.txt,3378,58516,7.697158081705151,17.32267613972765,88.32042182965637,409,0.1210775606867969,0.1377568204782755,330,0.0126918195454021,26001,0.0128549725371041,218.061858413459,52.8645669062257,0.1237273054629284,8-12
78,Milliyet Çocuk Kitapları 008 009 - Çocuklara 1001 Soru Cevap - M. İlin_djvu.txt,5835,177854,13.05844044558697,30.48054841473865,70.9674107225973,382,0.0654670094258783,0.0700531817348248,842,0.0110504488424589,76196,0.0111739257371871,213.327714812919,45.48532086626098,0.0678566348934989,8-12
79,Milliyet Çocuk Kitapları 017 - Kız Robenson - Scott O'Dell_djvu.txt,2617,69019,10.6977455101261,26.37332823844096,71.85979488438028,123,0.0470003821169277,0.049318364073777,322,0.0115016430918702,27996,0.0116354701163547,216.8333656754175,44.36930990549553,0.0497421239281908,8-12
80,Milliyet Çocuk Kitapları 020 - Kim - Rudyard Kipling_djvu.txt,3347,77202,10.07887660591575,23.0660292799522,80.57657114079147,287,0.0857484314311323,0.0937908496732026,582,0.0172526234659394,33734,0.0175555019305019,215.9660868626513,49.56382013562973,0.0908212986094267,8-12
81,Milliyet Çocuk Kitapları 026 - Ötleğen Kuşu - Halil Kocagöz_djvu.txt,3118,70029,9.374599101988457,22.45958948043618,78.10635296372118,244,0.0782552918537524,0.0848990953375087,273,0.0093397194663017,29230,0.0094277722139724,217.5881821851731,47.46081771021758,0.0815657560061207,8-12
82,Milliyet Çocuk Kitapları 029 - Karınca Dostlar_djvu.txt,3850,69728,7.619220779220779,18.11116883116883,83.44137689025366,227,0.0589610389610389,0.0626552580734198,250,0.0085225335787823,29334,0.0085957915004813,219.2112229606352,49.6526790792299,0.062315744371743,8-12
83,Milliyet Çocuk Kitapları 030 - Ülkü Öğretmen - - Mümtaz Zeki Taşkın_djvu.txt,4690,83327,7.704477611940298,17.76695095948827,86.07054421271073,454,0.0968017057569296,0.107176581680831,423,0.0117064260806996,36134,0.0118450897482568,218.5241825444097,51.41449474724677,0.1006115018166969,8-12
